# Sample ETH/UCY dataset format
# Format: frame_id agent_id pos_x pos_y
# This is a simplified example - real datasets have hundreds of agents and thousands of frames
0 1 400 300
0 2 420 280
0 3 380 320
1 1 402 302
1 2 418 282
1 3 382 318
2 1 404 304
2 2 416 284
2 3 384 316
3 1 406 306
3 2 414 286
3 3 386 314
4 1 408 308
4 2 412 288
4 3 388 312
5 1 410 310
5 2 410 290
5 3 390 310
6 1 412 312
6 2 408 292
6 3 392 308
7 1 414 314
7 2 406 294
7 3 394 306
8 1 416 316
8 2 404 296
8 3 396 304
9 1 418 318
9 2 402 298
9 3 398 302
10 1 420 320
10 2 400 300
10 3 400 300
